country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,date,hour
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2025-10-03 17:00:00,22.06631475,83.33820077,CO,30.0,84.0,45.0,2025-10-03,17
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",2025-10-03 17:00:00,28.5512005,77.2735737,NO2,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2025-10-03 17:00:00,28.656756,77.227234,PM2.5,63.0,291.0,166.0,2025-10-03,17
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2025-10-03 17:00:00,28.656756,77.227234,OZONE,3.0,36.0,26.0,2025-10-03,17
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2025-10-03 17:00:00,28.5710274,77.0719006,NH3,12.0,17.0,15.0,2025-10-03,17
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2025-10-03 17:00:00,28.5710274,77.0719006,SO2,16.0,23.0,19.0,2025-10-03,17
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2025-10-03 17:00:00,28.6811736,77.3025234,PM2.5,46.0,129.0,68.0,2025-10-03,17
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-10-03 17:00:00,28.695381,77.181665,NO2,20.0,152.0,76.0,2025-10-03,17
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-10-03 17:00:00,28.695381,77.181665,CO,17.0,103.0,35.0,2025-10-03,17
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-10-03 17:00:00,28.4706914,77.1099364,PM2.5,37.0,280.0,132.0,2025-10-03,17
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2025-10-03 17:00:00,28.611281,77.237738,NO2,19.0,147.0,84.0,2025-10-03,17
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2025-10-03 17:00:00,28.58028,77.233829,OZONE,18.0,90.0,58.0,2025-10-03,17
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-10-03 17:00:00,28.4706914,77.1099364,OZONE,128.0,181.0,176.0,2025-10-03,17
India,Delhi,Delhi,"ITO, Delhi - CPCB",2025-10-03 17:00:00,28.628624,77.24106,SO2,9.0,37.0,24.0,2025-10-03,17
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2025-10-03 17:00:00,28.672342,77.31526,OZONE,2.0,151.0,151.0,2025-10-03,17
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2025-10-03 17:00:00,28.699793,77.165453,PM2.5,83.0,350.0,243.0,2025-10-03,17
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2025-10-03 17:00:00,28.699793,77.165453,CO,8.0,124.0,69.0,2025-10-03,17
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2025-10-03 17:00:00,23.107969,72.574648,NO2,15.0,148.0,67.0,2025-10-03,17
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2025-10-03 17:00:00,22.977134,72.553024,SO2,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2025-10-03 17:00:00,22.977134,72.553024,OZONE,1.0,103.0,52.0,2025-10-03,17
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2025-10-03 17:00:00,23.002657,72.591912,CO,10.0,68.0,28.0,2025-10-03,17
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",2025-10-03 17:00:00,23.020509,72.579261,PM10,84.0,169.0,128.0,2025-10-03,17
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2025-10-03 17:00:00,28.5504249,77.2159377,NO2,42.0,47.0,44.0,2025-10-03,17
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2025-10-03 17:00:00,28.710508,77.249485,SO2,12.0,41.0,22.0,2025-10-03,17
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2025-10-03 17:00:00,28.710508,77.249485,OZONE,9.0,88.0,55.0,2025-10-03,17
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",2025-10-03 17:00:00,28.531346,77.190156,PM10,108.0,193.0,142.0,2025-10-03,17
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2025-10-03 17:00:00,28.672342,77.31526,NH3,1.0,5.0,3.0,2025-10-03,17
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2025-10-03 17:00:00,28.56789,77.250515,NH3,8.0,21.0,9.0,2025-10-03,17
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2025-10-03 17:00:00,28.56789,77.250515,OZONE,2.0,195.0,195.0,2025-10-03,17
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2025-10-03 17:00:00,28.6573814,77.1585447,PM2.5,69.0,331.0,179.0,2025-10-03,17
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2025-10-03 17:00:00,28.6573814,77.1585447,PM10,104.0,273.0,162.0,2025-10-03,17
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2025-10-03 17:00:00,28.530785,77.271255,OZONE,6.0,145.0,79.0,2025-10-03,17
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2025-10-03 17:00:00,28.674045,77.131023,PM10,112.0,276.0,166.0,2025-10-03,17
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2025-10-03 17:00:00,28.639652,77.146275,NH3,7.0,14.0,11.0,2025-10-03,17
India,Delhi,Delhi,"Pusa, Delhi - IMD",2025-10-03 17:00:00,28.63611,77.173332,CO,28.0,72.0,41.0,2025-10-03,17
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2025-10-03 17:00:00,23.016834,72.625775,PM10,51.0,210.0,122.0,2025-10-03,17
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2025-10-03 17:00:00,23.016834,72.625775,NH3,2.0,18.0,7.0,2025-10-03,17
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2025-10-03 17:00:00,23.016834,72.625775,SO2,30.0,116.0,80.0,2025-10-03,17
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2025-10-03 17:00:00,28.563262,77.186937,CO,6.0,104.0,24.0,2025-10-03,17
India,Delhi,Delhi,"Rohini, Delhi - DPCC",2025-10-03 17:00:00,28.732528,77.11992,CO,24.0,105.0,38.0,2025-10-03,17
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2025-10-03 17:00:00,28.623763,77.287209,PM10,141.0,300.0,189.0,2025-10-03,17
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2025-10-03 17:00:00,28.623763,77.287209,NO2,21.0,115.0,54.0,2025-10-03,17
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",2025-10-03 17:00:00,23.020509,72.579261,SO2,7.0,16.0,10.0,2025-10-03,17
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2025-10-03 17:00:00,28.563262,77.186937,NH3,3.0,8.0,5.0,2025-10-03,17
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",2025-10-03 17:00:00,12.9135218,77.5950804,CO,20.0,36.0,26.0,2025-10-03,17
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",2025-10-03 17:00:00,12.951913,77.539784,OZONE,35.0,69.0,50.0,2025-10-03,17
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2025-10-03 17:00:00,12.9756843,77.5660749,SO2,8.0,19.0,12.0,2025-10-03,17
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2025-10-03 17:00:00,13.029152,77.585901,PM10,62.0,129.0,91.0,2025-10-03,17
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",2025-10-03 17:00:00,12.938539,77.5901,NH3,2.0,4.0,3.0,2025-10-03,17
