country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Mundka, Delhi - DPCC","10-03-2025 17:00:00",28.684678,77.076574,SO2,5,11,8
India,Delhi,Delhi,"Mundka, Delhi - DPCC","10-03-2025 17:00:00",28.684678,77.076574,OZONE,6,114,81
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","10-03-2025 17:00:00",28.60909,77.0325413,PM2.5,32,151,86
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","10-03-2025 17:00:00",28.60909,77.0325413,NO2,12,35,22
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","10-03-2025 17:00:00",28.60909,77.0325413,CO,1,193,70
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","10-03-2025 17:00:00",28.570173,76.933762,SO2,3,20,16
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","10-03-2025 17:00:00",21.371751,81.664929,SO2,NA,NA,NA
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","10-03-2025 17:00:00",21.371751,81.664929,CO,14,41,35
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","10-03-2025 17:00:00",22.06631475,83.33820077,PM2.5,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","10-03-2025 17:00:00",22.06631475,83.33820077,PM10,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","10-03-2025 17:00:00",22.06631475,83.33820077,NO2,23,93,56
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","10-03-2025 17:00:00",22.06631475,83.33820077,CO,30,84,45
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","10-03-2025 17:00:00",28.5512005,77.2735737,NO2,NA,NA,NA
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","10-03-2025 17:00:00",28.656756,77.227234,PM2.5,63,291,166
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","10-03-2025 17:00:00",28.656756,77.227234,OZONE,3,36,26
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","10-03-2025 17:00:00",28.5710274,77.0719006,NH3,12,17,15
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","10-03-2025 17:00:00",28.5710274,77.0719006,SO2,16,23,19
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","10-03-2025 17:00:00",28.6811736,77.3025234,PM2.5,46,129,68
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","10-03-2025 17:00:00",28.695381,77.181665,NO2,20,152,76
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","10-03-2025 17:00:00",28.695381,77.181665,CO,17,103,35
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","10-03-2025 17:00:00",28.4706914,77.1099364,PM2.5,37,280,132
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","10-03-2025 17:00:00",28.611281,77.237738,NO2,19,147,84
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","10-03-2025 17:00:00",28.580280,77.233829,OZONE,18,90,58
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","10-03-2025 17:00:00",28.4706914,77.1099364,OZONE,128,181,176
India,Delhi,Delhi,"ITO, Delhi - CPCB","10-03-2025 17:00:00",28.628624,77.241060,SO2,9,37,24
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","10-03-2025 17:00:00",28.672342,77.315260,OZONE,2,151,151
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","10-03-2025 17:00:00",28.699793,77.165453,PM2.5,83,350,243
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","10-03-2025 17:00:00",28.699793,77.165453,CO,8,124,69
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","10-03-2025 17:00:00",23.107969,72.574648,NO2,15,148,67
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","10-03-2025 17:00:00",22.977134,72.553024,SO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","10-03-2025 17:00:00",22.977134,72.553024,OZONE,1,103,52
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","10-03-2025 17:00:00",23.002657,72.591912,CO,10,68,28
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","10-03-2025 17:00:00",23.020509,72.579261,PM10,84,169,128
